,word,FREQ,freq,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,freq11,freq12,freq13,freq14,freq15,freq16,Summary,Count,Validity
1,absolutely,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,1,Yes
2,access,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,1,no
3,adequate,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,0.55,1,Yes
4,aesthetically,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,0.38,1,Yes
5,africa,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,0.42,1,no
6,afternoon,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,1,no
7,ago,NA,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,1,no
8,air,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,0.67,1,no
9,airconditioning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,0.36,1,no
10,airport,NA,0.34,NA,0.34,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326666667,3,no
11,always,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,0.34,1,no
12,ambiance,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,1,Yes
13,amenities,0.6,NA,NA,NA,NA,0.38,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,0.503333333,3,Yes
14,anniversary,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,0.42,1,no
15,appreciate,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,0.37,1,Yes
16,area,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,1,Yes
17,around,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,0.35,1,no
18,arranged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,0.36,1,Yes
19,ask,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,0.37,1,no
20,assistance,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,0.42,1,Yes
21,associate,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,0.37,1,no
22,ate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,0.36,1,no
23,atleast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,0.35,1,no
24,automatically,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,0.36,1,Yes
25,available,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,no
26,aware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,0.36,1,no
27,bad,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,0.37,1,No
28,bar,NA,0.5,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,2,no
29,bars,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,0.42,1,no
30,bathroom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.34,0.335,2,Yes
31,bathtub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,0.35,1,Yes
32,beat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,0.45,1,Yes
33,beds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,0.35,1,Yes
34,best,0.31,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,0.336666667,3,Yes
35,beverage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.36,1,no
36,big,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,0.33,2,Yes
37,biggest,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,1,Yes
38,booked,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,0.37,NA,NA,NA,NA,0.36,2,no
39,breakfast,NA,0.43,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,2,no
40,buffet,NA,0.3,0.39,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356666667,3,no
41,busy,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,no
42,button,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,0.37,1,no
