,hosQuad,Class
1,no disappointments we stayed,Happy
2,them my observation location,Neutral
3,yes it is a,Happy
4,spicy food first visit,Neutral
5,homely and amzing its,0
6,helpful staff good restaurants,0
7,the chennai team it,0
8,awesome dj chris was,0
9,often stay at hilton,0
10,customer focussed range of,0
11,amidst a flood and,0
12,staff seems to be,0
13,hiltons  conrads in th,0
14,rooms were immaculate  lov,0
15,very near to the,0
16,in india unlike most,0
17,and an amazing rooftop,0
18,humid city all through,0
19,the hilton for over,0
20,about  mins which i,0
21,food  excellent breakfast an,0
22,good hotel  right a,0
23,have experienced worldwide other,0
24,very tasty and a,0
25,chennai hilton comes in,0
26,rooms were very comfortable,0
27,extremely good rooms were,0
28,out you should bring,0
29,beautiful ambience service and,0
30,be more helpful if,0
31,incredible great terasse view,0
32,coupons and beware every,0
33,and had a wonderful,0
34,quite average in comparison,0
35,for all our guests,0
36,and had nice city,0
37,so professional friendly and,0
38,extremely busy and not,0
39,negative was the executive,0
40,had approached hilton in,0
41,customer service was good,0
42,ago whilst i agree,0
43,easily make you feel,0
44,someone available to assist,0
45,an issue very friendly,0
46,da hotel as the,0
47,drive of the airport,0
48,have received this kind,0
49,make a beeline to,0
50,progress is a bit,0
51,know and hand over,0
52,the whole room is,0
53,neatly done with excellent,0
54,bit much i had,0
55,for each request in,0
56,facilities including the rooftop,0
57,hilton chennai was just,0
58,whole staff from the,0
59,my husband and myself,0
60,with such a warm,0
61,with lots of construction,0
62,well appointed rooms and,0
63,is on business restaurant,0
64,first business visit to,0
65,our trip pool french,0
66,everything best in hiltoni,0
67,of the upper tier,0
68,we have stayed around,0
69,anything extra any was,0
70,hi this is to,0
71,mr anand from the,0
72,job the roof top,0
73,had a silver dome,0
74,bar counter was divided,0
75,be the final touch,0
76,hotel nicely set out,0
77,and delivering it at,0
78,organized a conference in,0
79,so whats not to,0
80,room was quite spacious,0
81,was very impressed with,0
82,q bar pool side,0
83,said he would return,0
84,specially chennai branch were,0
85,excellent facilities staff are,0
86,buffet whether you try,0
87,you do i would,0
88,responses and provided necessary,0
89,friendly and professional i,0
90,the day ideal near,0
91,located right next to,0
92,thanks to monica and,0
93,namrata make every stay,0
94,was good you will,0
95,and service well located,0
96,it looks great but,0
97,some quality time in,0
98,and stayed in an,0
99,are also first class,0
100,worked perfectly the room,0
101,in a hotel for,0
102,at hiton chennai for,0
